accuracy,precision,recall,f1,sec_per_pred,model,loss_history
0.55,0.6037735849056604,0.4507042253521127,0.5161290322580645,2.099999983329326e-07,Logistic Regression,
0.915,0.949748743718593,0.8873239436619719,0.9174757281553398,3.6959374992875384e-05,SVM,
0.94,0.9655172413793104,0.92018779342723,0.9423076923076923,1.6322999726980925e-07,Neural Network,
0.82,0.8578680203045685,0.7934272300469484,0.824390243902439,0.002919595417624805,QNN (5 qubits),"[1.2419603434827948, 1.556752129806012, 1.5953016894332395, 1.0343697982283582, 0.4031247713173226, 0.5678169435392024, 0.2924069346193586, 0.748321152177438, 0.6244326806870408, 0.3766478344739498, 0.45688072532745155, 0.4221155752485132, 0.6245291038457637, 0.5274453901559295, 0.6163142251312471, 0.32767614416420976, 0.41523179206425714, 0.38603271697341685, 0.43382886115542796, 0.5032732844825036, 0.4176557459111845, 0.40598732268609605, 0.5390140256957652, 0.3363945984406612, 0.3173119911593448, 0.30908162585207255, 0.36851056561745504, 0.35001049412058344, 0.4158510870185827, 0.3066653171675462, 0.5287554696691694, 0.3719833235767226, 0.3288182049935539, 0.32767833459476126, 0.35166042740488257, 0.4432001416411293, 0.3742116567758407, 0.4703372354935387, 0.3651286738006241, 0.40479830434773906, 0.3677102333950132, 0.3525353765923067, 0.33145864184718776, 0.2645329190823713, 0.4462915860540049, 0.4059745735421848, 0.38830344532243144, 0.2945980967590406, 0.4460371754935939, 0.3769258514613125, 0.391513476827019, 0.3181255710041744, 0.43963491421392537, 0.40389294302583434, 0.44599264301585156, 0.317491252530963, 0.4293338966564461, 0.31195835849952447, 0.3336541536311255, 0.4897435081435915, 0.5253819014524398, 0.43136882368701224, 0.37046610483655784, 0.41700773503325306, 0.27726848814981014, 0.34513226040015654, 0.3954545219232515, 0.2981197475214819, 0.4289802792048106, 0.32625980528996523, 0.404093547459145, 0.2678162928219218, 0.28592050470863445, 0.3115956277279225, 0.34409528729402533, 0.213849452545027, 0.6443285908842218, 0.3294141476232774, 0.3728933839377767, 0.36834071413871305, 0.43991718182243333, 0.36561615083904053, 0.4121051760916732, 0.4444092345423388, 0.5497841541494541, 0.336323321277013, 0.41391630006306623, 0.2706049798431192, 0.5216685454407626, 0.31152455075881225, 0.3028455065400032, 0.44002757544057436, 0.26371772063542626, 0.46551859368051585, 0.37291404108929727, 0.4249093538752158, 0.4439391047824418, 0.54884118520413, 0.4086307693976201, 0.3993301693092205, 0.4189545006905794, 0.3427160332235759, 0.22176066762089197, 0.31054488616384546, 0.38362766751061117, 0.3866877130896413, 0.3862972575435181, 0.37927506432620295, 0.3951013901880925, 0.3148784701751856, 0.40727734693186657, 0.26416105798128986, 0.4024491823101128, 0.45829846162179233, 0.3835628308376471, 0.37361470048701256, 0.24870107032589567, 0.4867884846977675, 0.336979813130166, 0.4030101590182987, 0.35395269442741695, 0.37384391081533863, 0.37433431474108114, 0.26019124822596346, 0.4995979211220124, 0.27184433739403335, 0.19742103745143413, 0.5324050490569058, 0.3702733829651783, 0.37099015877416974, 0.4220427499974394, 0.3527710375389908, 0.3966015978154508, 0.4233745388271756, 0.4327601668448519, 0.47891046274210536, 0.2590606607093695, 0.4363136580963525, 0.39823320721041455, 0.3738608180303944, 0.24554294211998673, 0.298455348890149, 0.3631356794590149, 0.3691317953332811, 0.281454392546703, 0.3900204640975322, 0.30747324607859067, 0.3590464735200042, 0.46122866611073704, 0.2820479819189824, 0.4993458623140344, 0.44241906026589195, 0.2909161185676812, 0.3889079342413698, 0.41250111813274354, 0.312767183576781, 0.3432829368555771, 0.36789764287253224, 0.4583229546614395, 0.4057331574615192, 0.4378904222548559, 0.26783661645194756, 0.5816872601103638, 0.3607293005062292, 0.31769005764068314, 0.3937733555131342, 0.3654064404197111, 0.2534617096266025, 0.5246022412016929, 0.43786408961316714, 0.3885223734084964, 0.30410967579497017, 0.4169403844250541, 0.3986379079711645, 0.27119249118378735, 0.21746931572144085, 0.2588266061940651, 0.32487095164679136, 0.3494426382094952, 0.25683992679459783, 0.40721931103080944, 0.20945327054519836, 0.4109163074640408, 0.37412976003038895, 0.24565377074263822, 0.40057088630200616, 0.3826186510234965, 0.38452551753887976, 0.4288979506929205, 0.3699534270920819, 0.32376196336573604, 0.29711983836178313, 0.42925979238408263, 0.3431571597560214, 0.2928660517054683, 0.36901090665019476, 0.3825448809469594, 0.2552505424424144, 0.32065649732676543, 0.3668548714145019, 0.34490183939862085, 0.2908045678712334, 0.41469788100949956, 0.36787540723726897, 0.2989497150242831, 0.22139280594281552, 0.3684647886919523, 0.49981154357438984, 0.4311018848317998, 0.2982650657492343, 0.48212330304813655, 0.42565291392208465, 0.38661480172134466, 0.3669774022939838, 0.29549851226422263, 0.5192026688117763, 0.4023881556954226, 0.40399995174685016, 0.31292501224258906, 0.36984940465586036, 0.2839682227274854, 0.16200021781868487, 0.44644783010449707, 0.3118714521976139, 0.45776385140582854, 0.526024989925067, 0.3652582584809554, 0.3720172342122186, 0.3558275923006253, 0.3939559682817888, 0.30367742181452306, 0.32286679479873337, 0.46302080255955147, 0.32445597062059367, 0.3717025523628569, 0.4507612312131685, 0.3665892928066769, 0.3901288667066821, 0.2923559599449843, 0.3188610332291101, 0.4294457591887367, 0.3704537683419702, 0.34758323534415003, 0.3547109401159693, 0.3369322320554405, 0.46119237656667067, 0.29043645487154884, 0.420511765584212, 0.3115108327784434, 0.4108189608503455, 0.3264511274043983, 0.5058179912256853, 0.367261173665337, 0.35239652317544573, 0.2854263953267817, 0.38816836692913914, 0.36221531909192717, 0.30579004243885854, 0.3085845608142186, 0.3163484051963662, 0.37279036078698546, 0.36521847453404405, 0.29185333343618125, 0.37304682403691125, 0.477399925061364, 0.3970270165279476, 0.4407465646764016, 0.49050065253463254, 0.5671200558943288, 0.29082770583835255, 0.41085288405828624, 0.3863663839253756, 0.32016029852193834, 0.40018478457790196, 0.3070374568023792, 0.40161815466032214, 0.34265197727773344, 0.4784302026023526, 0.34658363535285797, 0.3490329761992366, 0.31078116168999215, 0.3692410539800833, 0.3676520634764206, 0.3545124628699328, 0.36324887787473126, 0.46385569608187294, 0.3318227891331661, 0.3784763920852522, 0.29155883009717776, 0.3125840052522451, 0.4077300821992315, 0.3439478691678549, 0.22149651884622185, 0.42454170276250763, 0.4253826767816606, 0.32461708283361623, 0.3399644153229653, 0.3516608314881199, 0.4739220118390596, 0.3403263752407677, 0.33968320862960133, 0.3985146588996581, 0.3666909892403889, 0.4282654175850121, 0.358473161324083, 0.37302399431930267, 0.37812105872368373, 0.5007574616629235, 0.3613803631818052, 0.4276247978657743, 0.3076338592578577, 0.3110549951693801, 0.36462648874991443, 0.3400093411699081, 0.4361430802123424, 0.43544307522517417, 0.32665723246052847, 0.32705869794158293, 0.42102901158357603, 0.375252832442283, 0.22207354942868796, 0.32283297014832635, 0.46561056300254977, 0.3839608321793482, 0.3893121596983494, 0.3094892891159484, 0.3737598169133967, 0.37716663755769625, 0.2749019563217391, 0.2604108119974521, 0.2839423000691415, 0.30439648505202294, 0.4545276724911372, 0.3855833293092036, 0.43812627014781236, 0.2946786966266999, 0.31515683052931265, 0.49265421054194636, 0.45930854524627784, 0.31703381278117204, 0.2994007561862909, 0.2426171074289904, 0.3807158515253172, 0.39835052645222724, 0.2370469116479858, 0.2993494929099376, 0.3548192917127182, 0.3672490632203236, 0.21796565429059128, 0.3366683705656206, 0.37099371616090093, 0.4161778351572373, 0.37360015832054233, 0.42509128313544503, 0.40094609875247067, 0.44746904558594436, 0.3456932783199632, 0.3542883494470227, 0.3831993845616162, 0.32110744016647336, 0.4255888238638347, 0.4099123242216107, 0.20192818498818216, 0.45813148604301357, 0.27823498177719475, 0.3349267815008785, 0.30164699810772827, 0.3287644037194041, 0.261501277220449, 0.384139252785241, 0.2385781975614557, 0.4137786087102012, 0.3324831715443053, 0.3923896003517445, 0.3148785523551433, 0.3504819409724927, 0.46774787713001376, 0.2962317287510377, 0.4837418805116014, 0.351458747554666, 0.3487316868008576, 0.395713479741568, 0.4040142815976799, 0.29543943890370034, 0.4691731733257861, 0.3461561997079504, 0.31794856550877426, 0.38795773621038565, 0.24060934291151093, 0.3675112607474156, 0.3504561236970979, 0.33409757942620133, 0.3912691418663869, 0.4717890967559334, 0.40186924975290517, 0.3269852782164689, 0.47830253535262907, 0.3179379610486962, 0.2370813928096345, 0.45691582007166476]"
